# pyGIMLi ERT data TR1 (corrected)
# nCols = 7
# x y z a b m n rhoa
# Format: x y z a b m n rhoa

# Electrode positions: 0m, 10m, 20m, ... 200m

# ---- 10m spacing ----
0   0 0 0 3 1 2 30.41456
10  0 0 1 4 2 3 27.77528
20  0 0 2 5 3 4 34.562
30  0 0 3 6 4 5 34.31064
40  0 0 4 7 5 6 25.4502
50  0 0 5 8 6 7 28.96924
60  0 0 6 9 7 8 24.06772
70  0 0 7 10 8 9 24.38192
80  0 0 8 11 9 10 24.31908
90  0 0 9 12 10 11 25.38736
100 0 0 10 13 11 12 30.72876
110 0 0 11 14 12 13 28.96924
120 0 0 12 15 13 14 35.00188
130 0 0 13 16 14 15 34.68768
140 0 0 14 17 15 16 33.05384
150 0 0 15 18 16 17 41.4744
160 0 0 16 19 17 18 39.77772
170 0 0 17 20 18 19 38.6466

# ---- 20m spacing ----
0   0 0 0 6 2 4 25.136
10  0 0 1 7 3 5 31.79704
20  0 0 2 8 4 6 29.91184
30  0 0 3 9 5 7 25.63872
40  0 0 4 10 6 8 24.75896
50  0 0 5 11 7 9 26.14144
60  0 0 6 12 8 10 25.63872
70  0 0 7 13 9 11 27.27256
80  0 0 8 14 10 12 24.25624
90  0 0 9 15 11 13 25.136
100 0 0 10 16 12 14 28.78072
110 0 0 11 17 13 15 25.89008
120 0 0 12 18 14 16 23.8792
130 0 0 13 19 15 17 26.14144
140 0 0 14 20 16 18 24.38192

# ---- 30m spacing ----
0   0 0 0 9 3 6 25.63872
10  0 0 1 10 4 7 28.65504
20  0 0 2 11 5 8 27.14688
30  0 0 3 12 6 9 24.88464
40  0 0 4 13 7 10 27.14688
50  0 0 5 14 8 11 24.5076
60  0 0 6 15 9 12 24.88464
70  0 0 7 16 10 13 38.83512
80  0 0 8 17 11 14 26.76984
90  0 0 9 18 12 15 26.20428
100 0 0 10 19 13 16 17.34384
120 0 0 12 20 14 17 22.43388

# ---- 40m spacing ----
0   0 0 0 12 4 8 25.89008
10  0 0 1 13 5 9 24.88464
20  0 0 2 14 6 10 24.13056
30  0 0 3 15 7 11 33.17952
40  0 0 4 16 8 12 34.93904
50  0 0 5 17 9 13 24.13056
60  0 0 6 18 10 14 27.39824
70  0 0 7 19 11 15 28.65504
80  0 0 8 20 12 16 28.65504

# ---- 50m spacing ----
0   0 0 0 15 5 10 21.0514
10  0 0 1 16 6 11 36.4472
20  0 0 2 17 7 12 23.8792
30  0 0 3 18 8 13 25.136
40  0 0 4 19 9 14 25.7644
50  0 0 5 20 10 15 60.0122

# ---- 60m spacing ----
0   0 0 0 18 6 12 21.86832
10  0 0 1 19 7 13 26.3928
20  0 0 2 20 8 14 27.90096
