# pyGIMLi ERT data TR2 (corrected)
# nCols = 7
# x y z a b m n rhoa
# Format: x y z a b m n rhoa

# ---- 10m spacing ----
0   0 0 0 3 1 2 37.51548
10  0 0 1 4 2 3 4.52448
20  0 0 2 5 3 4 5.6556
30  0 0 3 6 4 5 69.124
40  0 0 4 7 5 6 10.30576
70  0 0 7 10 8 9 8.42056
90  0 0 9 12 10 11 62.84
110 0 0 11 14 12 13 12.31664
130 0 0 13 16 14 15 11.81392
140 0 0 14 17 15 16 14.57888
160 0 0 16 19 17 18 11.3112
170 0 0 17 20 18 19 81.692

# ---- 20m spacing ----
0   0 0 0 6 2 4 6.40968
50  0 0 5 11 7 9 36.57288
80  0 0 8 14 10 12 103.93736
90  0 0 9 15 11 13 13.32208
110 0 0 11 17 13 15 13.69912
120 0 0 12 18 14 16 11.56256
130 0 0 13 19 15 17 26.64416
140 0 0 14 20 16 18 25.38736

# ---- 30m spacing ----
0   0 0 0 9 3 6 83.70288
30  0 0 3 12 6 9 12.2538
40  0 0 4 13 7 10 41.4744
50  0 0 5 14 8 11 178.90548
60  0 0 6 15 9 12 176.07768
100 0 0 10 19 13 16 4.52448
120 0 0 12 20 14 17 25.07316

# ---- 40m spacing ----
0   0 0 0 12 4 8 50.272
20  0 0 2 14 6 10 49.26656
30  0 0 3 15 7 11 187.01184
70  0 0 7 19 11 15 15.0816
80  0 0 8 20 12 16 5.52992

# ---- 50m spacing ----
0   0 0 0 15 5 10 57.4986
40  0 0 4 19 9 14 47.7584
50  0 0 5 20 10 15 102.115

# ---- 60m spacing ----
10  0 0 1 19 7 13 61.45752
20  0 0 2 20 8 14 42.60552
