# pyGIMLi ERT data TR3 (corrected)
# nCols = 7
# x y z a b m n rhoa
# Format: x y z a b m n rhoa

# ---- 10m spacing ----
0   0 0 0 3 1 2 113.112
10  0 0 1 4 2 3 138.248
20  0 0 2 5 3 4 157.1
30  0 0 3 6 4 5 226.224
40  0 0 4 7 5 6 194.804
50  0 0 5 8 6 7 238.792
60  0 0 6 9 7 8 226.224
70  0 0 7 10 8 9 238.792
80  0 0 8 11 9 10 232.508
90  0 0 9 12 10 11 194.804
100 0 0 10 13 11 12 194.804
110 0 0 11 14 12 13 113.112
120 0 0 12 15 13 14 238.792
130 0 0 13 16 14 15 175.952
140 0 0 14 17 15 16 188.52
150 0 0 15 18 16 17 219.94

# ---- 20m spacing ----
0   0 0 0 6 2 4 72.64304
10  0 0 1 7 3 5 76.41344
20  0 0 2 8 4 6 86.46784
30  0 0 3 9 5 7 93.75728
40  0 0 4 10 6 8 123.7948
50  0 0 5 11 7 9 87.85032
60  0 0 6 12 8 10 117.38512
70  0 0 7 13 9 11 117.88784
80  0 0 8 14 10 12 125.68
90  0 0 9 15 11 13 90.61528
100 0 0 10 16 12 14 138.248
110 0 0 11 17 13 15 138.248
120 0 0 12 18 14 16 109.71864

# ---- 30m spacing ----


# ---- 40m spacing ----
0   0 0 0 12 4 8 61.08048
10  0 0 1 13 5 9 72.64304
20  0 0 2 14 6 10 69.87808
30  0 0 3 15 7 11 49.76928
40  0 0 4 16 8 12 43.73664
50  0 0 5 17 9 13 46.5016
60  0 0 6 18 10 14 62.08592

# ---- 50m spacing ----
0   0 0 0 15 5 10 41.1602
10  0 0 1 16 6 11 41.4744
20  0 0 2 17 7 12 27.9638
30  0 0 3 18 8 13 29.5348

# ---- 60m spacing ----
0   0 0 0 18 6 12 18.47496
