# pyGIMLi ERT data TR5 (corrected)
# nCols = 7
# x y z a b m n rhoa
# Format: x y z a b m n rhoa

# ---- 10m spacing ----
0   0 0 0 3 1 2 69.124
10  0 0 1 4 2 3 69.124
20  0 0 2 5 3 4 75.408
30  0 0 3 6 4 5 47.88408
40  0 0 4 7 5 6 58.50404
50  0 0 5 8 6 7 47.38136
60  0 0 6 9 7 8 49.14088
70  0 0 7 10 8 9 49.14088
80  0 0 8 11 9 10 49.70644
90  0 0 9 12 10 11 50.5862
100 0 0 10 13 11 12 46.12456
110 0 0 11 14 12 13 44.67924
120 0 0 12 15 13 14 42.66836
130 0 0 13 16 14 15 37.89252

# ---- 20m spacing ----
0   0 0 0 6 2 4 59.82368
10  0 0 1 7 3 5 51.65448
20  0 0 2 8 4 6 40.34328
30  0 0 3 9 5 7 37.95536
40  0 0 4 10 6 8 29.03208
50  0 0 5 11 7 9 27.0212
60  0 0 6 12 8 10 35.94448
70  0 0 7 13 9 11 47.25568
80  0 0 8 14 10 12 41.09736
90  0 0 9 15 11 13 26.76984
100 0 0 10 16 12 14 17.21816

# ---- 30m spacing ----
0   0 0 0 9 3 6 41.66292
10  0 0 1 10 4 7 29.97468
20  0 0 2 11 5 8 25.63872
30  0 0 3 12 6 9 24.69612
40  0 0 4 13 7 10 38.6466
50  0 0 5 14 8 11 56.17896
60  0 0 6 15 9 12 56.93304
70  0 0 7 16 10 13 37.32696

# ---- 40m spacing ----
0   0 0 0 12 4 8 21.11424
10  0 0 1 13 5 9 23.8792
20  0 0 2 14 6 10 40.2176
30  0 0 3 15 7 11 57.05872
40  0 0 4 16 8 12 59.57232

# ---- 50m spacing ----
0   0 0 0 15 5 10 36.133
10  0 0 1 16 6 11 43.6738
